siteIndex,x,y,r1,r2,r3,r4,r5,r6,r7,r8
1,0.5,0.792893,4,2,15,3,16,14,6,12
2,0.207107,0.5,1,3,12,4,9,11,15,17
3,0.5,0.207107,2,4,17,1,18,20,6,12
4,0.792893,0.5,1,3,6,2,5,7,15,17
5,1.5,0.792893,8,6,27,7,28,26,22,4
6,1.207107,0.5,5,7,4,8,1,3,27,29
7,1.5,0.207107,6,8,29,5,30,32,22,4
8,1.792893,0.5,5,7,22,6,21,23,27,29
9,4.5,0.792893,12,10,39,11,40,38,2,36
10,4.207107,0.5,9,11,36,12,33,35,39,41
11,4.5,0.207107,10,12,41,9,42,44,2,36
12,4.792893,0.5,9,11,2,10,1,3,39,41
13,0.5,1.792893,16,14,47,15,48,46,26,40
14,0.207107,1.5,13,15,40,16,37,39,47,1
15,0.5,1.207107,14,16,1,13,2,4,26,40
16,0.792893,1.5,13,15,26,14,25,27,47,1
17,0.5,4.792893,20,18,3,19,4,2,30,44
18,0.207107,4.5,17,19,44,20,41,43,3,49
19,0.5,4.207107,18,20,49,17,50,52,30,44
20,0.792893,4.5,17,19,30,18,29,31,3,49
21,2.5,0.792893,24,22,55,23,56,54,34,8
22,2.207107,0.5,21,23,8,24,5,7,55,57
23,2.5,0.207107,22,24,57,21,58,60,34,8
24,2.792893,0.5,21,23,34,22,33,35,55,57
25,1.5,1.792893,28,26,63,27,64,62,54,16
26,1.207107,1.5,25,27,16,28,13,15,63,5
27,1.5,1.207107,26,28,5,25,6,8,54,16
28,1.792893,1.5,25,27,54,26,53,55,63,5
29,1.5,4.792893,32,30,7,31,8,6,58,20
30,1.207107,4.5,29,31,20,32,17,19,7,65
31,1.5,4.207107,30,32,65,29,66,68,58,20
32,1.792893,4.5,29,31,58,30,57,59,7,65
33,3.5,0.792893,36,34,71,35,72,70,10,24
34,3.207107,0.5,33,35,24,36,21,23,71,73
35,3.5,0.207107,34,36,73,33,74,76,10,24
36,3.792893,0.5,33,35,10,34,9,11,71,73
37,4.5,1.792893,40,38,79,39,80,78,14,72
38,4.207107,1.5,37,39,72,40,69,71,79,9
39,4.5,1.207107,38,40,9,37,10,12,14,72
40,4.792893,1.5,37,39,14,38,13,15,79,9
41,4.5,4.792893,44,42,11,43,12,10,18,76
42,4.207107,4.5,41,43,76,44,73,75,11,81
43,4.5,4.207107,42,44,81,41,82,84,18,76
44,4.792893,4.5,41,43,18,42,17,19,11,81
45,0.5,2.792893,48,46,51,47,52,50,62,80
46,0.207107,2.5,45,47,80,48,77,79,51,13
47,0.5,2.207107,46,48,13,45,14,16,62,80
48,0.792893,2.5,45,47,62,46,61,63,51,13
49,0.5,3.792893,52,50,19,51,20,18,66,84
50,0.207107,3.5,49,51,84,52,81,83,19,45
51,0.5,3.207107,50,52,45,49,46,48,66,84
52,0.792893,3.5,49,51,66,50,65,67,19,45
53,2.5,1.792893,56,54,87,55,88,86,70,28
54,2.207107,1.5,53,55,28,56,25,27,87,21
55,2.5,1.207107,54,56,21,53,22,24,70,28
56,2.792893,1.5,53,55,70,54,69,71,87,21
57,2.5,4.792893,60,58,23,59,24,22,74,32
58,2.207107,4.5,57,59,32,60,29,31,23,89
59,2.5,4.207107,58,60,89,57,90,92,74,32
60,2.792893,4.5,57,59,74,58,73,75,23,89
61,1.5,2.792893,64,62,67,63,68,66,86,48
62,1.207107,2.5,61,63,48,64,45,47,67,25
63,1.5,2.207107,62,64,25,61,26,28,86,48
64,1.792893,2.5,61,63,86,62,85,87,67,25
65,1.5,3.792893,68,66,31,67,32,30,90,52
66,1.207107,3.5,65,67,52,68,49,51,31,61
67,1.5,3.207107,66,68,61,65,62,64,90,52
68,1.792893,3.5,65,67,90,66,89,91,31,61
69,3.5,1.792893,72,70,95,71,96,94,38,56
70,3.207107,1.5,69,71,56,72,53,55,95,33
71,3.5,1.207107,70,72,33,69,34,36,38,56
72,3.792893,1.5,69,71,38,70,37,39,95,33
73,3.5,4.792893,76,74,35,75,36,34,42,60
74,3.207107,4.5,73,75,60,76,57,59,35,97
75,3.5,4.207107,74,76,97,73,98,100,42,60
76,3.792893,4.5,73,75,42,74,41,43,35,97
77,4.5,2.792893,80,78,83,79,84,82,46,96
78,4.207107,2.5,77,79,96,80,93,95,83,37
79,4.5,2.207107,78,80,37,77,38,40,46,96
80,4.792893,2.5,77,79,46,78,45,47,83,37
81,4.5,3.792893,84,82,43,83,44,42,50,100
82,4.207107,3.5,81,83,100,84,97,99,43,77
83,4.5,3.207107,82,84,77,81,78,80,50,100
84,4.792893,3.5,81,83,50,82,49,51,43,77
85,2.5,2.792893,88,86,91,87,92,90,94,64
86,2.207107,2.5,85,87,64,88,61,63,91,53
87,2.5,2.207107,86,88,53,85,54,56,94,64
88,2.792893,2.5,85,87,94,86,93,95,91,53
89,2.5,3.792893,92,90,59,91,60,58,98,68
90,2.207107,3.5,89,91,68,92,65,67,59,85
91,2.5,3.207107,90,92,85,89,86,88,98,68
92,2.792893,3.5,89,91,98,90,97,99,59,85
93,3.5,2.792893,96,94,99,95,100,98,78,88
94,3.207107,2.5,93,95,88,96,85,87,99,69
95,3.5,2.207107,94,96,69,93,70,72,78,88
96,3.792893,2.5,93,95,78,94,77,79,99,69
97,3.5,3.792893,100,98,75,99,76,74,82,92
98,3.207107,3.5,97,99,92,100,89,91,75,93
99,3.5,3.207107,98,100,93,97,94,96,82,92
100,3.792893,3.5,97,99,82,98,81,83,75,93
